driver,month,spec,n_files,n_lines,commit,sample_path
PYTHON,2023-05,connection-monitoring-and-pooling,30,1934,2fe01929,test/cmap/connection-must-have-id.json
PYTHON,2023-05,connection-string,10,1688,2fe01929,test/connection_string/test/invalid-uris.json
PYTHON,2023-05,crud,142,31521,2fe01929,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-05,gridfs,5,2475,2fe01929,test/gridfs/delete.json
PYTHON,2023-05,initial-dns-seedlist-discovery,52,618,2fe01929,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-05,load-balancers,8,3943,2fe01929,test/load_balancer/cursors.json
PYTHON,2023-05,max-staleness,32,2293,2fe01929,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-05,read-write-concern,6,1212,2fe01929,test/read_write_concern/document/read-concern.json
PYTHON,2023-05,retryable-reads,43,21268,2fe01929,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-05,retryable-writes,33,8244,2fe01929,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-05,server-discovery-and-monitoring,199,21754,2fe01929,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-05,server-selection,68,2783,2fe01929,test/server_selection/in_window/equilibrium.json
PYTHON,2023-05,sessions,7,3343,2fe01929,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-05,transactions,36,26646,2fe01929,test/transactions/legacy/abort.json
PYTHON,2023-05,transactions-convenient-api,9,3780,2fe01929,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-05,unified-test-format,271,11742,2fe01929,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-05,uri-options,9,1354,2fe01929,test/uri_options/auth-options.json
PYTHON,2023-05,versioned-api,6,2834,2fe01929,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-06,atlas-data-lake-testing,7,282,46276439,test/data_lake/aggregate.json
PYTHON,2023-06,auth,3,958,46276439,test/auth/legacy/connection-string.json
PYTHON,2023-06,bson-corpus,31,5245,46276439,test/bson_corpus/array.json
PYTHON,2023-06,change-streams,8,8197,46276439,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-06,client-side-encryption,137,87816,46276439,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-06,client-side-operations-timeout,24,31155,46276439,test/csot/bulkWrite.json
PYTHON,2023-06,collection-management,4,814,46276439,test/collection_management/clustered-indexes.json
PYTHON,2023-06,command-monitoring,11,2638,46276439,test/command_monitoring/bulkWrite.json
PYTHON,2023-06,connection-monitoring-and-pooling,30,1934,46276439,test/cmap/connection-must-have-id.json
PYTHON,2023-06,connection-string,10,1688,46276439,test/connection_string/test/invalid-uris.json
PYTHON,2023-06,crud,142,31521,46276439,test/crud/unified/aggregate-allowdiskuse.json
PYTHON,2023-06,gridfs,5,2475,46276439,test/gridfs/delete.json
PYTHON,2023-06,initial-dns-seedlist-discovery,52,618,46276439,test/srv_seedlist/load-balanced/loadBalanced-directConnection.json
PYTHON,2023-06,load-balancers,8,3943,46276439,test/load_balancer/cursors.json
PYTHON,2023-06,max-staleness,32,2293,46276439,test/max_staleness/ReplicaSetNoPrimary/DefaultNoMaxStaleness.json
PYTHON,2023-06,read-write-concern,6,1212,46276439,test/read_write_concern/document/read-concern.json
PYTHON,2023-06,retryable-reads,43,21268,46276439,test/retryable_reads/legacy/aggregate-merge.json
PYTHON,2023-06,retryable-writes,33,8244,46276439,test/retryable_writes/legacy/bulkWrite-errorLabels.json
PYTHON,2023-06,run-command,2,1512,46276439,test/run_command/unified/runCommand.json
PYTHON,2023-06,server-discovery-and-monitoring,199,21754,46276439,test/discovery_and_monitoring/errors/error_handling_handshake.json
PYTHON,2023-06,server-selection,68,2783,46276439,test/server_selection/in_window/equilibrium.json
PYTHON,2023-06,sessions,7,3343,46276439,test/sessions/driver-sessions-dirty-session-errors.json
PYTHON,2023-06,transactions,36,26646,46276439,test/transactions/legacy/abort.json
PYTHON,2023-06,transactions-convenient-api,9,3780,46276439,test/transactions-convenient-api/callback-aborts.json
PYTHON,2023-06,unified-test-format,271,11742,46276439,test/unified-test-format/invalid/clientEncryptionOpts-additionalProperties.json
PYTHON,2023-06,uri-options,9,1354,46276439,test/uri_options/auth-options.json
PYTHON,2023-06,versioned-api,6,2834,46276439,test/versioned-api/crud-api-version-1-strict.json
PYTHON,2023-07,atlas-data-lake-testing,7,282,c88ae79e,test/data_lake/aggregate.json
PYTHON,2023-07,auth,3,958,c88ae79e,test/auth/legacy/connection-string.json
PYTHON,2023-07,bson-corpus,31,5245,c88ae79e,test/bson_corpus/array.json
PYTHON,2023-07,change-streams,8,8197,c88ae79e,test/change_streams/unified/change-streams-clusterTime.json
PYTHON,2023-07,client-side-encryption,137,87816,c88ae79e,test/client-side-encryption/corpus/corpus-encrypted.json
PYTHON,2023-07,client-side-operations-timeout,24,31155,c88ae79e,test/csot/bulkWrite.json
PYTHON,2023-07,collection-management,4,814,c88ae79e,test/collection_management/clustered-indexes.json
