driver,month,spec,n_files,n_lines,driver_commit,submodule_sha
JAVA,2025-10,client-side-encryption,220,53740,feea1ad6,ace53b16
JAVA,2025-10,client-side-operations-timeout,28,20635,feea1ad6,ace53b16
JAVA,2025-10,collection-management,6,482,feea1ad6,ace53b16
JAVA,2025-10,command-logging-and-monitoring,25,2936,feea1ad6,ace53b16
JAVA,2025-10,connection-monitoring-and-pooling,35,1704,feea1ad6,ace53b16
JAVA,2025-10,connection-string,8,1256,feea1ad6,ace53b16
JAVA,2025-10,crud,189,18682,feea1ad6,ace53b16
JAVA,2025-10,gridfs,8,1152,feea1ad6,ace53b16
JAVA,2025-10,index-management,7,535,feea1ad6,ace53b16
JAVA,2025-10,initial-dns-seedlist-discovery,53,467,feea1ad6,ace53b16
JAVA,2025-10,load-balancers,8,1533,feea1ad6,ace53b16
JAVA,2025-10,max-staleness,32,965,feea1ad6,ace53b16
JAVA,2025-10,mongodb-handshake,1,54,feea1ad6,ace53b16
JAVA,2025-10,open-telemetry,22,1856,feea1ad6,ace53b16
JAVA,2025-10,read-write-concern,8,807,feea1ad6,ace53b16
JAVA,2025-10,retryable-reads,45,12102,feea1ad6,ace53b16
JAVA,2025-10,retryable-writes,35,6198,feea1ad6,ace53b16
JAVA,2025-10,run-command,2,660,feea1ad6,ace53b16
JAVA,2025-10,server-discovery-and-monitoring,221,15918,feea1ad6,ace53b16
JAVA,2025-10,server-selection,73,1981,feea1ad6,ace53b16
JAVA,2025-10,sessions,7,1440,feea1ad6,ace53b16
JAVA,2025-10,transactions,40,16665,feea1ad6,ace53b16
JAVA,2025-10,transactions-convenient-api,10,2027,feea1ad6,ace53b16
JAVA,2025-10,unified-test-format,318,6323,feea1ad6,ace53b16
JAVA,2025-10,uri-options,11,1305,feea1ad6,ace53b16
JAVA,2025-10,versioned-api,6,1088,feea1ad6,ace53b16
JAVA,2025-11,auth,2,696,9796f569,ace53b16
JAVA,2025-11,change-streams,9,4011,9796f569,ace53b16
JAVA,2025-11,client-side-encryption,220,53740,9796f569,ace53b16
JAVA,2025-11,client-side-operations-timeout,28,20635,9796f569,ace53b16
JAVA,2025-11,collection-management,6,482,9796f569,ace53b16
JAVA,2025-11,command-logging-and-monitoring,25,2936,9796f569,ace53b16
JAVA,2025-11,connection-monitoring-and-pooling,35,1704,9796f569,ace53b16
JAVA,2025-11,connection-string,8,1256,9796f569,ace53b16
JAVA,2025-11,crud,189,18682,9796f569,ace53b16
JAVA,2025-11,gridfs,8,1152,9796f569,ace53b16
JAVA,2025-11,index-management,7,535,9796f569,ace53b16
JAVA,2025-11,initial-dns-seedlist-discovery,53,467,9796f569,ace53b16
JAVA,2025-11,load-balancers,8,1533,9796f569,ace53b16
JAVA,2025-11,max-staleness,32,965,9796f569,ace53b16
JAVA,2025-11,mongodb-handshake,1,54,9796f569,ace53b16
JAVA,2025-11,open-telemetry,22,1856,9796f569,ace53b16
JAVA,2025-11,read-write-concern,8,807,9796f569,ace53b16
JAVA,2025-11,retryable-reads,45,12102,9796f569,ace53b16
JAVA,2025-11,retryable-writes,35,6198,9796f569,ace53b16
JAVA,2025-11,run-command,2,660,9796f569,ace53b16
JAVA,2025-11,server-discovery-and-monitoring,221,15918,9796f569,ace53b16
JAVA,2025-11,server-selection,73,1981,9796f569,ace53b16
JAVA,2025-11,sessions,7,1440,9796f569,ace53b16
JAVA,2025-11,transactions,40,16665,9796f569,ace53b16
JAVA,2025-11,transactions-convenient-api,10,2027,9796f569,ace53b16
JAVA,2025-11,unified-test-format,318,6323,9796f569,ace53b16
JAVA,2025-11,uri-options,11,1305,9796f569,ace53b16
JAVA,2025-11,versioned-api,6,1088,9796f569,ace53b16
JAVA,2025-12,auth,2,705,74084934,a8d34be0
JAVA,2025-12,change-streams,9,4011,74084934,a8d34be0
JAVA,2025-12,client-side-encryption,220,53740,74084934,a8d34be0
JAVA,2025-12,client-side-operations-timeout,28,20635,74084934,a8d34be0
JAVA,2025-12,collection-management,6,482,74084934,a8d34be0
JAVA,2025-12,command-logging-and-monitoring,25,2936,74084934,a8d34be0
JAVA,2025-12,connection-monitoring-and-pooling,35,1704,74084934,a8d34be0
JAVA,2025-12,connection-string,8,1256,74084934,a8d34be0
JAVA,2025-12,crud,189,18682,74084934,a8d34be0
JAVA,2025-12,gridfs,8,1152,74084934,a8d34be0
JAVA,2025-12,index-management,7,535,74084934,a8d34be0
JAVA,2025-12,initial-dns-seedlist-discovery,53,467,74084934,a8d34be0
JAVA,2025-12,load-balancers,8,1533,74084934,a8d34be0
JAVA,2025-12,max-staleness,32,965,74084934,a8d34be0
JAVA,2025-12,mongodb-handshake,1,54,74084934,a8d34be0
JAVA,2025-12,open-telemetry,22,2008,74084934,a8d34be0
JAVA,2025-12,read-write-concern,8,807,74084934,a8d34be0
JAVA,2025-12,retryable-reads,45,12102,74084934,a8d34be0
JAVA,2025-12,retryable-writes,35,6198,74084934,a8d34be0
JAVA,2025-12,run-command,2,660,74084934,a8d34be0
JAVA,2025-12,server-discovery-and-monitoring,224,16042,74084934,a8d34be0
JAVA,2025-12,server-selection,73,1981,74084934,a8d34be0
JAVA,2025-12,sessions,7,1834,74084934,a8d34be0
JAVA,2025-12,transactions,40,16665,74084934,a8d34be0
JAVA,2025-12,transactions-convenient-api,10,2027,74084934,a8d34be0
JAVA,2025-12,unified-test-format,318,6323,74084934,a8d34be0
JAVA,2025-12,uri-options,11,1305,74084934,a8d34be0
JAVA,2025-12,versioned-api,6,1088,74084934,a8d34be0
JAVA,2026-01,auth,2,705,55600120,de684cf1
JAVA,2026-01,change-streams,9,4011,55600120,de684cf1
JAVA,2026-01,client-side-encryption,220,53740,55600120,de684cf1
JAVA,2026-01,client-side-operations-timeout,28,20635,55600120,de684cf1
JAVA,2026-01,collection-management,6,482,55600120,de684cf1
JAVA,2026-01,command-logging-and-monitoring,25,3059,55600120,de684cf1
JAVA,2026-01,connection-monitoring-and-pooling,35,1704,55600120,de684cf1
JAVA,2026-01,connection-string,8,1256,55600120,de684cf1
JAVA,2026-01,crud,189,18682,55600120,de684cf1
JAVA,2026-01,gridfs,8,1152,55600120,de684cf1
JAVA,2026-01,index-management,7,535,55600120,de684cf1
JAVA,2026-01,initial-dns-seedlist-discovery,53,467,55600120,de684cf1
JAVA,2026-01,load-balancers,8,1533,55600120,de684cf1
JAVA,2026-01,max-staleness,32,965,55600120,de684cf1
JAVA,2026-01,mongodb-handshake,1,55,55600120,de684cf1
JAVA,2026-01,open-telemetry,22,2008,55600120,de684cf1
JAVA,2026-01,read-write-concern,8,807,55600120,de684cf1
JAVA,2026-01,retryable-reads,45,12102,55600120,de684cf1
JAVA,2026-01,retryable-writes,35,6198,55600120,de684cf1
JAVA,2026-01,run-command,2,660,55600120,de684cf1
